127.0.0.1 - - [01/Mar/2017:14:56:20 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [01/Mar/2017:14:56:23 +0800] "GET /message_board/index.jsp HTTP/1.1" 500 3166
0:0:0:0:0:0:0:1 - - [01/Mar/2017:14:56:23 +0800] "GET /message_board//CSS/main.css HTTP/1.1" 200 5988
0:0:0:0:0:0:0:1 - - [01/Mar/2017:14:56:23 +0800] "GET /message_board///JS/main.js HTTP/1.1" 200 3823
0:0:0:0:0:0:0:1 - - [01/Mar/2017:14:56:23 +0800] "GET /message_board//CSS/public.css HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [01/Mar/2017:14:56:23 +0800] "GET /message_board//img/logo2.png HTTP/1.1" 200 3878
0:0:0:0:0:0:0:1 - - [01/Mar/2017:14:56:23 +0800] "GET /message_board//img/logo1.png HTTP/1.1" 200 40615
0:0:0:0:0:0:0:1 - - [01/Mar/2017:14:56:23 +0800] "GET /message_board//img/picture.jpg HTTP/1.1" 200 354821
0:0:0:0:0:0:0:1 - - [01/Mar/2017:14:56:23 +0800] "GET /message_board//img/404.png HTTP/1.1" 200 1234
0:0:0:0:0:0:0:1 - - [01/Mar/2017:14:56:23 +0800] "GET /message_board//img/clear.png HTTP/1.1" 200 889
0:0:0:0:0:0:0:1 - - [01/Mar/2017:15:03:05 +0800] "GET /message_board//index.jsp HTTP/1.1" 500 3166
0:0:0:0:0:0:0:1 - - [01/Mar/2017:15:05:51 +0800] "GET /message_board//index.jsp HTTP/1.1" 200 14061
0:0:0:0:0:0:0:1 - - [01/Mar/2017:15:05:51 +0800] "GET /message_board//JS/main.js HTTP/1.1" 200 3823
0:0:0:0:0:0:0:1 - - [01/Mar/2017:15:05:51 +0800] "GET /message_board//img/latest.png HTTP/1.1" 200 1718
0:0:0:0:0:0:0:1 - - [01/Mar/2017:15:05:51 +0800] "GET /message_board//img/hot.png HTTP/1.1" 200 1542
0:0:0:0:0:0:0:1 - - [01/Mar/2017:15:05:51 +0800] "GET /message_board//img/principal.png HTTP/1.1" 200 2326
0:0:0:0:0:0:0:1 - - [01/Mar/2017:15:05:51 +0800] "GET /message_board//img/department.png HTTP/1.1" 200 2295
0:0:0:0:0:0:0:1 - - [01/Mar/2017:15:05:55 +0800] "GET /message_board//Principal.jsp?object=all HTTP/1.1" 200 9162
0:0:0:0:0:0:0:1 - - [01/Mar/2017:15:05:56 +0800] "GET null null" 400 -
0:0:0:0:0:0:0:1 - - [01/Mar/2017:15:06:08 +0800] "GET null null" 400 -
0:0:0:0:0:0:0:1 - - [01/Mar/2017:15:06:15 +0800] "GET null null" 400 -
0:0:0:0:0:0:0:1 - - [01/Mar/2017:15:08:49 +0800] "GET /message_board//Principal.jsp?object=%22%E4%B9%A6%E8%AE%B0%22 HTTP/1.1" 200 4222
0:0:0:0:0:0:0:1 - - [01/Mar/2017:15:08:49 +0800] "GET /message_board//CSS/main.css HTTP/1.1" 200 5988
0:0:0:0:0:0:0:1 - - [01/Mar/2017:15:08:49 +0800] "GET /message_board//CSS/public.css HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [01/Mar/2017:15:08:49 +0800] "GET /message_board//JS/main.js HTTP/1.1" 200 3823
0:0:0:0:0:0:0:1 - - [01/Mar/2017:15:08:49 +0800] "GET /message_board//img/logo1.png HTTP/1.1" 200 40615
0:0:0:0:0:0:0:1 - - [01/Mar/2017:15:08:49 +0800] "GET /message_board//img/logo2.png HTTP/1.1" 200 3878
0:0:0:0:0:0:0:1 - - [01/Mar/2017:15:08:49 +0800] "GET /message_board//img/principal.png HTTP/1.1" 200 2326
0:0:0:0:0:0:0:1 - - [01/Mar/2017:15:08:49 +0800] "GET /message_board//img/picture.jpg HTTP/1.1" 200 354821
0:0:0:0:0:0:0:1 - - [01/Mar/2017:15:08:49 +0800] "GET /message_board//img/clear.png HTTP/1.1" 200 889
0:0:0:0:0:0:0:1 - - [01/Mar/2017:15:08:49 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [01/Mar/2017:15:08:51 +0800] "GET /message_board//Principal.jsp?object=%E6%A0%A1%E9%95%BF HTTP/1.1" 200 5240
0:0:0:0:0:0:0:1 - - [01/Mar/2017:15:08:52 +0800] "GET /message_board//Principal.jsp?object=%E4%B9%A6%E8%AE%B0 HTTP/1.1" 200 5982
0:0:0:0:0:0:0:1 - - [01/Mar/2017:15:08:52 +0800] "GET /message_board//Principal.jsp?object=%E5%88%86%E7%AE%A1%E6%A0%A1%E9%95%BF HTTP/1.1" 200 6427
