127.0.0.1 - - [17/Jan/2017:15:54:25 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:54:27 +0800] "GET /message_board/index.jsp HTTP/1.1" 200 12343
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:54:27 +0800] "GET /message_board/CSS/public.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:54:27 +0800] "GET /message_board/CSS/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:54:27 +0800] "GET /message_board/img/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:54:27 +0800] "GET /message_board/img/hot.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:54:27 +0800] "GET /message_board/img/latest.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:54:27 +0800] "GET /message_board/img/department.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:54:27 +0800] "GET /message_board/img/principal.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:54:27 +0800] "GET /message_board/img/logo1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:54:27 +0800] "GET /message_board/img/clear.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:54:27 +0800] "GET /message_board/img/search.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:54:27 +0800] "GET /message_board/img/picture.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:54:50 +0800] "GET /message_board/index.jsp HTTP/1.1" 200 12187
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:54:50 +0800] "GET /message_board/CSS/main.css HTTP/1.1" 200 6264
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:54:50 +0800] "GET /message_board/CSS/public.css HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:54:50 +0800] "GET /message_board/img/logo1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:54:50 +0800] "GET /message_board/img/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:54:50 +0800] "GET /message_board/img/picture.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:54:50 +0800] "GET /message_board/img/latest.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:54:50 +0800] "GET /message_board/img/hot.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:54:50 +0800] "GET /message_board/img/principal.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:54:50 +0800] "GET /message_board/img/department.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:56:16 +0800] "GET /message_board/index.jsp HTTP/1.1" 200 12187
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:56:16 +0800] "GET /message_board/CSS/main.css HTTP/1.1" 200 6265
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:56:16 +0800] "GET /message_board/CSS/public.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:56:16 +0800] "GET /message_board/img/logo1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:56:16 +0800] "GET /message_board/img/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:56:16 +0800] "GET /message_board/img/picture.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:56:16 +0800] "GET /message_board/img/latest.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:56:16 +0800] "GET /message_board/img/hot.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:56:16 +0800] "GET /message_board/img/principal.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:56:16 +0800] "GET /message_board/img/department.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:56:17 +0800] "GET /message_board/index.jsp HTTP/1.1" 200 12187
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:56:17 +0800] "GET /message_board/CSS/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:56:17 +0800] "GET /message_board/CSS/public.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:56:17 +0800] "GET /message_board/img/logo1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:56:17 +0800] "GET /message_board/img/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:56:17 +0800] "GET /message_board/img/picture.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:56:17 +0800] "GET /message_board/img/latest.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:56:17 +0800] "GET /message_board/img/hot.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:56:17 +0800] "GET /message_board/img/principal.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:56:17 +0800] "GET /message_board/img/department.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:56:17 +0800] "GET /message_board/index.jsp HTTP/1.1" 200 12187
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:56:17 +0800] "GET /message_board/CSS/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:56:17 +0800] "GET /message_board/CSS/public.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:56:17 +0800] "GET /message_board/img/logo1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:56:17 +0800] "GET /message_board/img/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:56:17 +0800] "GET /message_board/img/picture.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:56:17 +0800] "GET /message_board/img/latest.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:15:56:17 +0800] "GET /message_board/img/hot.png HTTP/1.1" 304 -
