127.0.0.1 - - [30/Jan/2017:08:33:53 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:33:54 +0800] "GET /message_board/Message.jsp HTTP/1.1" 200 9899
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:33:54 +0800] "GET /message_board/CSS/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:33:54 +0800] "GET /message_board/CSS/code_bg.jpg HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:33:57 +0800] "GET /message_board/Message.jsp HTTP/1.1" 200 9899
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:33:57 +0800] "GET /message_board/CSS/main.css HTTP/1.1" 200 6201
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:33:57 +0800] "GET /message_board/CSS/public.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:33:57 +0800] "GET /message_board/img/logo1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:33:57 +0800] "GET /message_board/CSS/code_bg.jpg HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:33:57 +0800] "GET /message_board/img/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:33:57 +0800] "GET /message_board/img/clear.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:33:57 +0800] "GET /message_board/img/message.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:33:57 +0800] "GET /message_board/img/picture.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:33:57 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:34:09 +0800] "GET /message_board/index.jsp HTTP/1.1" 200 13748
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:34:09 +0800] "GET /message_board/img/latest.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:34:09 +0800] "GET /message_board/img/hot.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:34:09 +0800] "GET /message_board/img/principal.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:34:09 +0800] "GET /message_board/img/department.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:34:19 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 9986
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:34:20 +0800] "GET /message_board/Department.jsp HTTP/1.1" 200 10308
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:34:25 +0800] "GET /message_board/Latest.jsp HTTP/1.1" 200 9516
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:34:27 +0800] "GET /message_board/Hot.jsp HTTP/1.1" 200 9547
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:34:41 +0800] "GET /message_board/index.jsp HTTP/1.1" 200 13748
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:34:41 +0800] "GET /message_board/img/department.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:38:05 +0800] "GET /message_board/Latest.jsp HTTP/1.1" 200 9990
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:38:11 +0800] "GET /message_board/Principal.jsp?pageIndex=2 HTTP/1.1" 200 4917
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:38:16 +0800] "GET /message_board/Principal.jsp?pageIndex=1 HTTP/1.1" 200 9986
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:38:55 +0800] "GET /message_board/Principal.jsp?pageIndex=1 HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:39:01 +0800] "GET /message_board/Latest.jsp HTTP/1.1" 200 9975
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:39:01 +0800] "GET /message_board/CSS/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:39:01 +0800] "GET /message_board/CSS/public.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:39:01 +0800] "GET /message_board/img/logo1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:39:01 +0800] "GET /message_board/img/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:39:01 +0800] "GET /message_board/img/picture.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:39:01 +0800] "GET /message_board/img/latest.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:39:01 +0800] "GET /message_board/img/clear.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:39:35 +0800] "GET /message_board/Latest.jsp?pageIndex=2 HTTP/1.1" 200 9980
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:39:44 +0800] "GET /message_board/Latest.jsp?pageIndex=3 HTTP/1.1" 200 10097
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:39:52 +0800] "GET /message_board/Latest.jsp?pageIndex=4 HTTP/1.1" 200 5198
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:40:06 +0800] "GET /message_board/Latest.jsp?pageIndex=5 HTTP/1.1" 200 5198
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:40:18 +0800] "GET /message_board/index.jsp HTTP/1.1" 200 13748
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:40:23 +0800] "GET /message_board/Hot.jsp HTTP/1.1" 200 9991
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:40:38 +0800] "GET /message_board/Hot.jsp?pageIndex=2 HTTP/1.1" 200 9971
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:41:39 +0800] "GET /message_board/Hot.jsp?pageIndex=4 HTTP/1.1" 200 5213
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:50:37 +0800] "GET /message_board/Hot.jsp?pageIndex=4 HTTP/1.1" 200 5201
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:50:37 +0800] "GET /message_board/CSS/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:50:37 +0800] "GET /message_board/CSS/public.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:50:37 +0800] "GET /message_board/img/logo1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:50:37 +0800] "GET /message_board/img/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:50:37 +0800] "GET /message_board/img/hot.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:50:37 +0800] "GET /message_board/img/picture.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:50:43 +0800] "GET /message_board/Hot.jsp?pageIndex=4 HTTP/1.1" 200 5201
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:50:52 +0800] "GET /message_board/Hot.jsp?pageIndex=3 HTTP/1.1" 200 10008
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:51:50 +0800] "GET /message_board/Hot.jsp?pageIndex=3 HTTP/1.1" 200 10010
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:51:50 +0800] "GET /message_board/CSS/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:51:50 +0800] "GET /message_board/CSS/public.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:51:50 +0800] "GET /message_board/img/logo1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:51:50 +0800] "GET /message_board/img/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:51:50 +0800] "GET /message_board/img/picture.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:51:50 +0800] "GET /message_board/img/hot.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:51:50 +0800] "GET /message_board/img/clear.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:52:02 +0800] "GET /message_board/Hot.jsp?pageIndex=1&=%E8%B7%B3%E8%BD%AC HTTP/1.1" 200 9994
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:52:18 +0800] "GET /message_board/Latest.jsp HTTP/1.1" 200 9975
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:52:19 +0800] "GET /message_board/Hot.jsp HTTP/1.1" 200 9994
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:52:31 +0800] "GET /message_board/Latest.jsp HTTP/1.1" 200 9975
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:52:51 +0800] "GET /message_board/Hot.jsp HTTP/1.1" 200 9994
0:0:0:0:0:0:0:1 - - [30/Jan/2017:08:52:51 +0800] "GET /message_board/CSS/main.css HTTP/1.1" 304 -
