127.0.0.1 - - [12/Mar/2017:08:08:37 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:08:38 +0800] "GET /message_board/College.jsp HTTP/1.1" 500 3113
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:08:38 +0800] "GET /message_board//CSS/main.css HTTP/1.1" 200 6312
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:08:45 +0800] "GET /message_board/College.jsp HTTP/1.1" 500 3113
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:08:45 +0800] "GET /message_board//img/404.png HTTP/1.1" 200 1234
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:08:45 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:08:47 +0800] "GET /message_board//Principal.jsp?object=all HTTP/1.1" 200 9945
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:08:48 +0800] "GET /message_board//Department.jsp?object=all HTTP/1.1" 200 9879
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:08:50 +0800] "GET /message_board//Department.jsp?object=all HTTP/1.1" 200 9879
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:08:50 +0800] "GET /message_board//Department.jsp?object=all HTTP/1.1" 200 9879
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:09:02 +0800] "GET /message_board/College.jsp HTTP/1.1" 500 3113
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:09:02 +0800] "GET /message_board//CSS/main.css HTTP/1.1" 200 6312
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:09:02 +0800] "GET /message_board//CSS/public.css HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:09:02 +0800] "GET /message_board///JS/main.js HTTP/1.1" 200 3823
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:09:02 +0800] "GET /message_board//img/404.png HTTP/1.1" 200 1234
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:09:02 +0800] "GET /message_board//img/logo1.png HTTP/1.1" 200 40615
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:09:02 +0800] "GET /message_board//img/logo2.png HTTP/1.1" 200 3878
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:09:02 +0800] "GET /message_board//img/picture.jpg HTTP/1.1" 200 354821
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:09:02 +0800] "GET /message_board//img/clear.png HTTP/1.1" 200 889
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:09:02 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:09:04 +0800] "GET /message_board//Principal.jsp?object=all HTTP/1.1" 200 9945
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:09:04 +0800] "GET /message_board//JS/main.js HTTP/1.1" 200 3823
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:09:04 +0800] "GET /message_board//img/principal.png HTTP/1.1" 200 2326
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:09:07 +0800] "GET /message_board//index.jsp HTTP/1.1" 200 15114
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:09:07 +0800] "GET /message_board//CSS/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:09:07 +0800] "GET /message_board//img/latest.png HTTP/1.1" 200 1718
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:09:07 +0800] "GET /message_board//img/hot.png HTTP/1.1" 200 1542
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:09:07 +0800] "GET /message_board//img/department.png HTTP/1.1" 200 2295
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:09:20 +0800] "GET /message_board//index.jsp HTTP/1.1" 200 15114
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:09:20 +0800] "GET /message_board//CSS/public.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:09:20 +0800] "GET /message_board//JS/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:09:20 +0800] "GET /message_board//CSS/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:09:20 +0800] "GET /message_board//img/logo1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:09:20 +0800] "GET /message_board//img/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:09:20 +0800] "GET /message_board//img/picture.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:09:20 +0800] "GET /message_board//img/latest.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:09:20 +0800] "GET /message_board//img/hot.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:09:20 +0800] "GET /message_board//img/principal.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:09:20 +0800] "GET /message_board//img/department.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:09:20 +0800] "GET /message_board//img/clear.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:09:20 +0800] "GET /message_board//index.jsp HTTP/1.1" 200 15114
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:09:20 +0800] "GET /message_board//CSS/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:09:20 +0800] "GET /message_board//CSS/public.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2017:08:09:20 +0800] "GET /message_board//JS/main.js HTTP/1.1" 304 -
