127.0.0.1 - - [22/Feb/2017:12:23:22 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [22/Feb/2017:12:23:23 +0800] "GET /message_board/index.jsp HTTP/1.1" 200 14061
0:0:0:0:0:0:0:1 - - [22/Feb/2017:12:23:24 +0800] "GET /message_board/CSS/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2017:12:23:24 +0800] "GET /message_board/JS/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2017:12:23:24 +0800] "GET /message_board/CSS/public.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2017:12:23:24 +0800] "GET /message_board/img/logo1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2017:12:23:24 +0800] "GET /message_board/img/latest.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2017:12:23:24 +0800] "GET /message_board/img/department.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2017:12:23:24 +0800] "GET /message_board/img/hot.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2017:12:23:24 +0800] "GET /message_board/img/picture.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2017:12:23:24 +0800] "GET /message_board/img/clear.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2017:12:23:24 +0800] "GET /message_board/img/principal.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2017:12:23:24 +0800] "GET /message_board/img/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2017:12:23:41 +0800] "GET /message_board/index.jsp HTTP/1.1" 200 14061
0:0:0:0:0:0:0:1 - - [22/Feb/2017:12:23:41 +0800] "GET /message_board/CSS/main.css HTTP/1.1" 200 5988
0:0:0:0:0:0:0:1 - - [22/Feb/2017:12:23:41 +0800] "GET /message_board/CSS/public.css HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [22/Feb/2017:12:23:41 +0800] "GET /message_board/JS/main.js HTTP/1.1" 200 3823
0:0:0:0:0:0:0:1 - - [22/Feb/2017:12:23:41 +0800] "GET /message_board/img/logo2.png HTTP/1.1" 200 3878
0:0:0:0:0:0:0:1 - - [22/Feb/2017:12:23:41 +0800] "GET /message_board/img/logo1.png HTTP/1.1" 200 40615
