127.0.0.1 - - [26/Mar/2017:08:31:21 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [26/Mar/2017:08:31:23 +0800] "GET /message_board/index.jsp HTTP/1.1" 200 19216
0:0:0:0:0:0:0:1 - - [26/Mar/2017:08:31:23 +0800] "GET /message_board//CSS/main.css HTTP/1.1" 200 7700
0:0:0:0:0:0:0:1 - - [26/Mar/2017:08:31:26 +0800] "GET /message_board/index.jsp HTTP/1.1" 200 19216
0:0:0:0:0:0:0:1 - - [26/Mar/2017:08:31:26 +0800] "GET /message_board//CSS/main.css HTTP/1.1" 200 7700
0:0:0:0:0:0:0:1 - - [26/Mar/2017:08:31:26 +0800] "GET /message_board//CSS/public.css HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [26/Mar/2017:08:31:26 +0800] "GET /message_board/JS/main.js HTTP/1.1" 200 3695
0:0:0:0:0:0:0:1 - - [26/Mar/2017:08:31:26 +0800] "GET /message_board//assets/themes/default/sangarSlider.css HTTP/1.1" 200 13693
0:0:0:0:0:0:0:1 - - [26/Mar/2017:08:31:26 +0800] "GET /message_board//JS/sangarSlider/sangarSetupLayout.js HTTP/1.1" 200 5077
0:0:0:0:0:0:0:1 - - [26/Mar/2017:08:31:26 +0800] "GET /message_board//JS/imagesloaded.min.js HTTP/1.1" 200 6939
0:0:0:0:0:0:0:1 - - [26/Mar/2017:08:31:26 +0800] "GET /message_board//JS/sangarSlider/sangarSizeAndScale.js HTTP/1.1" 200 4318
0:0:0:0:0:0:0:1 - - [26/Mar/2017:08:31:26 +0800] "GET /message_board//JS/sangarSlider/sangarShift.js HTTP/1.1" 200 15889
0:0:0:0:0:0:0:1 - - [26/Mar/2017:08:31:26 +0800] "GET /message_board//assets/themes/default/default.css HTTP/1.1" 200 3124
0:0:0:0:0:0:0:1 - - [26/Mar/2017:08:31:26 +0800] "GET /message_board//JS/jquery.touchSwipe.min.js HTTP/1.1" 200 10802
0:0:0:0:0:0:0:1 - - [26/Mar/2017:08:31:26 +0800] "GET /message_board//JS/sangarSlider/sangarBaseClass.js HTTP/1.1" 200 17716
0:0:0:0:0:0:0:1 - - [26/Mar/2017:08:31:26 +0800] "GET /message_board//JS/jquery.js HTTP/1.1" 200 96402
0:0:0:0:0:0:0:1 - - [26/Mar/2017:08:31:26 +0800] "GET /message_board//JS/sangarSlider/sangarSetupSwipeTouch.js HTTP/1.1" 200 7184
0:0:0:0:0:0:0:1 - - [26/Mar/2017:08:31:26 +0800] "GET /message_board//JS/sangarSlider/sangarSetupNavigation.js HTTP/1.1" 200 5504
0:0:0:0:0:0:0:1 - - [26/Mar/2017:08:31:26 +0800] "GET /message_board//JS/sangarSlider/sangarSetupBulletNav.js HTTP/1.1" 200 22213
0:0:0:0:0:0:0:1 - - [26/Mar/2017:08:31:27 +0800] "GET /message_board//JS/sangarSlider/sangarSetupTimer.js HTTP/1.1" 200 5383
0:0:0:0:0:0:0:1 - - [26/Mar/2017:08:31:27 +0800] "GET /message_board//JS/sangarSlider/sangarBeforeAfter.js HTTP/1.1" 200 877
0:0:0:0:0:0:0:1 - - [26/Mar/2017:08:31:27 +0800] "GET /message_board//JS/sangarSlider/sangarLock.js HTTP/1.1" 200 1653
0:0:0:0:0:0:0:1 - - [26/Mar/2017:08:31:27 +0800] "GET /message_board//JS/sangarSlider.js HTTP/1.1" 200 8368
0:0:0:0:0:0:0:1 - - [26/Mar/2017:08:31:27 +0800] "GET /message_board//JS/sangarSlider/sangarResponsiveClass.js HTTP/1.1" 200 1537
0:0:0:0:0:0:0:1 - - [26/Mar/2017:08:31:27 +0800] "GET /message_board//JS/sangarSlider/sangarResetSlider.js HTTP/1.1" 200 6608
0:0:0:0:0:0:0:1 - - [26/Mar/2017:08:31:27 +0800] "GET /message_board//JS/sangarSlider/sangarTextbox.js HTTP/1.1" 200 3549
0:0:0:0:0:0:0:1 - - [26/Mar/2017:08:31:27 +0800] "GET /message_board//img/logo1.png HTTP/1.1" 200 40615
0:0:0:0:0:0:0:1 - - [26/Mar/2017:08:31:27 +0800] "GET /message_board//img/lb2.jpg HTTP/1.1" 200 111933
0:0:0:0:0:0:0:1 - - [26/Mar/2017:08:31:27 +0800] "GET /message_board//img/facebook.png HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [26/Mar/2017:08:31:27 +0800] "GET /message_board//img/twitter.png HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [26/Mar/2017:08:31:27 +0800] "GET /message_board//img/lb1.jpg HTTP/1.1" 200 272921
0:0:0:0:0:0:0:1 - - [26/Mar/2017:08:31:27 +0800] "GET /message_board//img/telegram.png HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [26/Mar/2017:08:31:27 +0800] "GET /message_board//img/Google+.png HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [26/Mar/2017:08:31:27 +0800] "GET /message_board/img/latest.png HTTP/1.1" 200 1718
0:0:0:0:0:0:0:1 - - [26/Mar/2017:08:31:27 +0800] "GET /message_board//img/lb3.jpg HTTP/1.1" 200 300000
0:0:0:0:0:0:0:1 - - [26/Mar/2017:08:31:27 +0800] "GET /message_board/img/hot.png HTTP/1.1" 200 1542
0:0:0:0:0:0:0:1 - - [26/Mar/2017:08:31:27 +0800] "GET /message_board/img/department.png HTTP/1.1" 200 2295
0:0:0:0:0:0:0:1 - - [26/Mar/2017:08:31:27 +0800] "GET /message_board/img/principal.png HTTP/1.1" 200 2326
0:0:0:0:0:0:0:1 - - [26/Mar/2017:08:31:27 +0800] "GET /message_board//img/search.png HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [26/Mar/2017:08:31:28 +0800] "GET /message_board//assets/themes/default/images/right-arrow.png HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [26/Mar/2017:08:31:28 +0800] "GET /message_board//assets/themes/default/images/left-arrow.png HTTP/1.1" 200 3459
