127.0.0.1 - - [11/Mar/2017:10:12:42 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:12:44 +0800] "GET /message_board/result/Search_result.jsp HTTP/1.1" 500 3653
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:12:44 +0800] "GET /message_board///JS/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:12:44 +0800] "GET /message_board//CSS/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:12:44 +0800] "GET /message_board//CSS/public.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:12:44 +0800] "GET /message_board//img/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:12:44 +0800] "GET /message_board//img/logo1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:12:44 +0800] "GET /message_board//img/picture.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:12:44 +0800] "GET /message_board//img/404.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:12:44 +0800] "GET /message_board//img/clear.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:12:56 +0800] "GET /message_board/result/Search_result.jsp HTTP/1.1" 500 3653
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:12:56 +0800] "GET /message_board//CSS/main.css HTTP/1.1" 200 5988
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:12:56 +0800] "GET /message_board//CSS/public.css HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:12:56 +0800] "GET /message_board///JS/main.js HTTP/1.1" 200 3823
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:12:56 +0800] "GET /message_board//img/logo1.png HTTP/1.1" 200 40615
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:12:56 +0800] "GET /message_board//img/logo2.png HTTP/1.1" 200 3878
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:12:56 +0800] "GET /message_board//img/picture.jpg HTTP/1.1" 200 354821
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:12:56 +0800] "GET /message_board//img/404.png HTTP/1.1" 200 1234
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:12:56 +0800] "GET /message_board//img/clear.png HTTP/1.1" 200 889
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:12:56 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:13:05 +0800] "GET /message_board//result/Search_result.jsp?input=%E5%91%B5%E5%91%B5&select=title HTTP/1.1" 200 4294
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:13:05 +0800] "GET /message_board//JS/main.js HTTP/1.1" 200 3823
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:13:05 +0800] "GET /message_board//img/search_s.png HTTP/1.1" 200 1828
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:13:17 +0800] "GET /message_board//result/Search_result.jsp?input=%E5%91%B5%E5%91%B5&select=title HTTP/1.1" 200 4294
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:13:17 +0800] "GET /message_board//JS/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:13:17 +0800] "GET /message_board//img/search_s.png HTTP/1.1" 200 1828
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:13:28 +0800] "GET /message_board//result/Search_result.jsp?input=%E5%91%B5%E5%91%B5&select=title HTTP/1.1" 200 4294
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:13:30 +0800] "GET /message_board//Department.jsp?object=all HTTP/1.1" 200 9086
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:13:30 +0800] "GET /message_board//img/department.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:13:34 +0800] "GET /message_board//result/Search_result.jsp?input=%E5%91%B5%E5%91%B5&select=title HTTP/1.1" 200 4294
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:13:37 +0800] "GET /message_board//Principal.jsp?object=all HTTP/1.1" 200 9162
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:13:37 +0800] "GET /message_board//img/principal.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:13:38 +0800] "GET null null" 400 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:13:44 +0800] "GET /message_board//Principal.jsp?object=all HTTP/1.1" 200 9162
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:13:46 +0800] "GET /message_board//result/Search_result.jsp?input=%E5%91%B5%E5%91%B5&select=title HTTP/1.1" 200 4294
0:0:0:0:0:0:0:1 - - [11/Mar/2017:10:24:09 +0800] "GET /message_board//result/Search_result.jsp?input=%E5%91%B5%E5%91%B5&select=title HTTP/1.1" 200 4294
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:21:16 +0800] "GET /message_board//result/Search_result.jsp?input=%E5%91%B5%E5%91%B5&select=title HTTP/1.1" 200 4279
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:21:17 +0800] "GET /message_board//Principal.jsp?object=all HTTP/1.1" 200 9164
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:21:17 +0800] "GET /message_board//img/principal.png HTTP/1.1" 200 2326
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:21:18 +0800] "GET /message_board//Principal.jsp?object=all HTTP/1.1" 200 9164
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:21:18 +0800] "GET /message_board//Principal.jsp?object=%E4%B9%A6%E8%AE%B0 HTTP/1.1" 200 5984
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:21:21 +0800] "GET /message_board//Principal.jsp?object=%E6%A0%A1%E9%95%BF HTTP/1.1" 200 5242
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:21:23 +0800] "GET /message_board//Principal.jsp?object=%E5%88%86%E7%AE%A1%E6%A0%A1%E9%95%BF HTTP/1.1" 200 6429
0:0:0:0:0:0:0:1 - - [11/Mar/2017:11:21:25 +0800] "GET /message_board//College.jsp?object=all HTTP/1.1" 200 9192
