127.0.0.1 - - [29/Jan/2017:08:38:50 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [29/Jan/2017:08:38:55 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10324
0:0:0:0:0:0:0:1 - - [29/Jan/2017:08:38:55 +0800] "GET /message_board/CSS/main.css HTTP/1.1" 200 6102
0:0:0:0:0:0:0:1 - - [29/Jan/2017:08:39:04 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10324
0:0:0:0:0:0:0:1 - - [29/Jan/2017:08:39:04 +0800] "GET /message_board/CSS/main.css HTTP/1.1" 200 6102
0:0:0:0:0:0:0:1 - - [29/Jan/2017:08:39:05 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [29/Jan/2017:08:39:34 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10324
0:0:0:0:0:0:0:1 - - [29/Jan/2017:08:44:00 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10324
0:0:0:0:0:0:0:1 - - [29/Jan/2017:08:44:10 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10324
0:0:0:0:0:0:0:1 - - [29/Jan/2017:08:44:15 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10324
0:0:0:0:0:0:0:1 - - [29/Jan/2017:08:44:26 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10324
0:0:0:0:0:0:0:1 - - [29/Jan/2017:08:44:28 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10324
0:0:0:0:0:0:0:1 - - [29/Jan/2017:08:44:29 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10324
0:0:0:0:0:0:0:1 - - [29/Jan/2017:08:44:32 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10324
0:0:0:0:0:0:0:1 - - [29/Jan/2017:08:44:34 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10324
0:0:0:0:0:0:0:1 - - [29/Jan/2017:08:44:54 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10324
0:0:0:0:0:0:0:1 - - [29/Jan/2017:08:44:54 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10324
0:0:0:0:0:0:0:1 - - [29/Jan/2017:08:44:56 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10324
0:0:0:0:0:0:0:1 - - [29/Jan/2017:08:45:01 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10324
0:0:0:0:0:0:0:1 - - [29/Jan/2017:08:45:06 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10324
0:0:0:0:0:0:0:1 - - [29/Jan/2017:08:45:12 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10324
0:0:0:0:0:0:0:1 - - [29/Jan/2017:08:45:23 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10324
0:0:0:0:0:0:0:1 - - [29/Jan/2017:08:49:29 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10324
0:0:0:0:0:0:0:1 - - [29/Jan/2017:08:49:35 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10324
0:0:0:0:0:0:0:1 - - [29/Jan/2017:08:49:44 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10324
0:0:0:0:0:0:0:1 - - [29/Jan/2017:08:49:44 +0800] "GET /message_board/CSS/main.css HTTP/1.1" 200 6048
0:0:0:0:0:0:0:1 - - [29/Jan/2017:08:49:44 +0800] "GET /message_board/CSS/public.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2017:08:49:44 +0800] "GET /message_board/img/logo1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2017:08:49:44 +0800] "GET /message_board/img/clear.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2017:08:49:44 +0800] "GET /message_board/img/principal.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2017:08:49:44 +0800] "GET /message_board/img/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2017:08:49:44 +0800] "GET /message_board/img/picture.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2017:08:50:45 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10331
