127.0.0.1 - - [17/Feb/2017:19:24:50 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:24:52 +0800] "GET /message_board/index.jsp HTTP/1.1" 200 14061
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:24:52 +0800] "GET /message_board/JS/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:24:52 +0800] "GET /message_board/CSS/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:24:52 +0800] "GET /message_board/CSS/public.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:24:52 +0800] "GET /message_board/img/logo1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:24:52 +0800] "GET /message_board/img/hot.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:24:52 +0800] "GET /message_board/img/latest.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:24:52 +0800] "GET /message_board/img/department.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:24:52 +0800] "GET /message_board/img/principal.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:24:52 +0800] "GET /message_board/img/picture.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:24:52 +0800] "GET /message_board/img/clear.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:24:52 +0800] "GET /message_board/img/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:24:58 +0800] "GET /message_board/Department.jsp?object=all HTTP/1.1" 200 9086
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:24:59 +0800] "GET null null" 400 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:25:04 +0800] "GET /message_board/Department.jsp?object=%E8%A1%8C%E6%94%BF%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5431
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:25:04 +0800] "GET /message_board/CSS/main.css HTTP/1.1" 200 5988
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:25:04 +0800] "GET /message_board/CSS/public.css HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:25:04 +0800] "GET /message_board/JS/main.js HTTP/1.1" 200 3823
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:25:04 +0800] "GET /message_board/img/logo1.png HTTP/1.1" 200 40615
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:25:04 +0800] "GET /message_board/img/logo2.png HTTP/1.1" 200 3878
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:25:04 +0800] "GET /message_board/img/picture.jpg HTTP/1.1" 200 354821
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:25:04 +0800] "GET /message_board/img/department.png HTTP/1.1" 200 2295
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:25:04 +0800] "GET /message_board/img/clear.png HTTP/1.1" 200 889
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:25:04 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:25:05 +0800] "GET /message_board/Department.jsp?object=%E5%90%8E%E5%8B%A4%E6%9C%8D%E5%8A%A1%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5479
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:25:06 +0800] "GET /message_board/Department.jsp?object=%E5%90%8E%E5%8B%A4%E6%9C%8D%E5%8A%A1%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5479
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:25:06 +0800] "GET /message_board/Department.jsp?object=%E8%A1%8C%E6%94%BF%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5431
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:25:06 +0800] "GET /message_board/Department.jsp?object=%E9%A3%9F%E5%A0%82%E7%9B%91%E7%AE%A1%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5476
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:25:07 +0800] "GET /message_board/Department.jsp?object=%E6%A0%A1%E5%9B%AD%E5%AE%89%E4%BF%9D%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5488
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:27:07 +0800] "GET /message_board/Department.jsp?object=%E6%A0%A1%E5%9B%AD%E5%AE%89%E4%BF%9D%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5488
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:28:10 +0800] "GET /message_board/Department.jsp?object=%E9%A3%9F%E5%A0%82%E7%9B%91%E7%AE%A1%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5476
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:28:10 +0800] "GET /message_board/Department.jsp?object=%E5%90%8E%E5%8B%A4%E6%9C%8D%E5%8A%A1%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5479
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:28:58 +0800] "GET /message_board/Department.jsp?object=%E8%A1%8C%E6%94%BF%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5431
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:29:08 +0800] "GET /message_board/Department.jsp?object=%E8%A1%8C%E6%94%BF%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5431
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:29:09 +0800] "GET /message_board/Department.jsp?object=%E8%A1%8C%E6%94%BF%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5431
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:29:09 +0800] "GET /message_board/Department.jsp?object=%E8%A1%8C%E6%94%BF%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5431
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:29:09 +0800] "GET /message_board/Department.jsp?object=%E8%A1%8C%E6%94%BF%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5431
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:29:10 +0800] "GET /message_board/Department.jsp?object=%E8%A1%8C%E6%94%BF%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5431
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:29:10 +0800] "GET /message_board/Department.jsp?object=%E8%A1%8C%E6%94%BF%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5431
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:29:10 +0800] "GET /message_board/Department.jsp?object=%E8%A1%8C%E6%94%BF%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5431
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:29:23 +0800] "GET /message_board/Department.jsp?object=%E9%A3%9F%E5%A0%82%E7%9B%91%E7%AE%A1%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5476
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:29:25 +0800] "GET /message_board/Department.jsp?object=%E8%A1%8C%E6%94%BF%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5431
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:30:06 +0800] "GET /message_board/Department.jsp?object=%E8%A1%8C%E6%94%BF%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5431
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:30:06 +0800] "GET /message_board/Department.jsp?object=%E6%A0%A1%E5%9B%AD%E5%AE%89%E4%BF%9D%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5488
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:30:07 +0800] "GET /message_board/Department.jsp?object=%E8%B4%A2%E5%8A%A1%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5073
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:30:07 +0800] "GET /message_board/Department.jsp?object=%E5%90%8E%E5%8B%A4%E6%9C%8D%E5%8A%A1%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5479
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:30:08 +0800] "GET /message_board/Department.jsp?object=%E8%A1%8C%E6%94%BF%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5431
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:30:08 +0800] "GET /message_board/Department.jsp?object=%E9%A3%9F%E5%A0%82%E7%9B%91%E7%AE%A1%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5476
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:32:23 +0800] "GET /message_board/Department.jsp?object=%E9%A3%9F%E5%A0%82%E7%9B%91%E7%AE%A1%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5476
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:32:24 +0800] "GET /message_board/Department.jsp?object=%E8%A1%8C%E6%94%BF%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5431
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:32:54 +0800] "GET /message_board/result/Search_result.jsp?input=15&select=id HTTP/1.1" 200 4209
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:32:54 +0800] "GET /message_board/img/search_s.png HTTP/1.1" 200 1828
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:33:00 +0800] "GET /message_board/Department.jsp?object=all HTTP/1.1" 200 9086
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:33:01 +0800] "GET /message_board/Department.jsp?object=%E5%90%8E%E5%8B%A4%E6%9C%8D%E5%8A%A1%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5479
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:41:18 +0800] "GET /message_board/index.jsp HTTP/1.1" 200 14061
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:41:20 +0800] "GET /message_board/Department.jsp?object=all HTTP/1.1" 200 9086
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:41:21 +0800] "GET /message_board/Principal.jsp?object=all HTTP/1.1" 200 9162
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:41:22 +0800] "GET /message_board/College.jsp?object=all HTTP/1.1" 200 9192
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:41:22 +0800] "GET /message_board/img/college.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:41:22 +0800] "GET /message_board/College.jsp?object=all HTTP/1.1" 200 9192
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:41:24 +0800] "GET null null" 400 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:41:25 +0800] "GET /message_board/College.jsp?object=all HTTP/1.1" 200 9192
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:41:55 +0800] "GET /message_board/College.jsp?object=all HTTP/1.1" 200 9192
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:41:56 +0800] "GET /message_board/img/college.png HTTP/1.1" 200 2046
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:42:03 +0800] "GET /message_board/result/Search_result.jsp?input=%E5%9B%9B%E5%85%AD&select=title HTTP/1.1" 200 4267
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:42:10 +0800] "GET /message_board/Principal.jsp?object=all HTTP/1.1" 200 9162
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:42:10 +0800] "GET /message_board/img/principal.png HTTP/1.1" 200 2326
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:42:11 +0800] "GET /message_board/Principal.jsp?object=%E6%A0%A1%E9%95%BF HTTP/1.1" 200 5240
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:43:16 +0800] "GET null null" 400 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:46:06 +0800] "GET null null" 400 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:47:10 +0800] "GET /message_board/index.jsp HTTP/1.1" 200 14061
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:47:15 +0800] "GET /message_board/Department.jsp?object=all HTTP/1.1" 200 9086
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:47:15 +0800] "GET null null" 400 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:19:50:10 +0800] "GET null null" 400 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:21:00 +0800] "GET /message_board/Department.jsp?object=%E8%A1%8C%E6%94%BF%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5431
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:21:01 +0800] "GET /message_board/CSS/main.css HTTP/1.1" 200 5988
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:21:01 +0800] "GET /message_board/CSS/public.css HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:21:01 +0800] "GET /message_board/img/logo2.png HTTP/1.1" 200 3878
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:21:01 +0800] "GET /message_board/img/logo1.png HTTP/1.1" 200 40615
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:21:01 +0800] "GET /message_board/img/department.png HTTP/1.1" 200 2295
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:21:01 +0800] "GET /message_board/JS/main.js HTTP/1.1" 200 3823
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:21:01 +0800] "GET /message_board/img/picture.jpg HTTP/1.1" 200 354821
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:21:01 +0800] "GET /message_board/img/clear.png HTTP/1.1" 200 889
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:21:01 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:21:01 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:21:02 +0800] "GET /message_board/Department.jsp?object=%E5%90%8E%E5%8B%A4%E6%9C%8D%E5%8A%A1%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5479
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:21:03 +0800] "GET /message_board/Department.jsp?object=%E8%A1%8C%E6%94%BF%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5431
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:21:03 +0800] "GET /message_board/Department.jsp?object=%E6%A0%A1%E5%9B%AD%E5%AE%89%E4%BF%9D%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5488
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:21:04 +0800] "GET /message_board/Department.jsp?object=%E9%A3%9F%E5%A0%82%E7%9B%91%E7%AE%A1%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5476
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:21:05 +0800] "GET /message_board/Department.jsp?object=%E8%B4%A2%E5%8A%A1%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5073
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:21:05 +0800] "GET /message_board/Department.jsp?object=%E6%A0%A1%E5%9B%AD%E5%AE%89%E4%BF%9D%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5488
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:21:06 +0800] "GET /message_board/Department.jsp?object=%E9%A3%9F%E5%A0%82%E7%9B%91%E7%AE%A1%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5476
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:21:06 +0800] "GET /message_board/Department.jsp?object=%E5%90%8E%E5%8B%A4%E6%9C%8D%E5%8A%A1%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5479
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:21:06 +0800] "GET /message_board/Department.jsp?object=%E8%A1%8C%E6%94%BF%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5431
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:21:07 +0800] "GET /message_board/Department.jsp?object=%E5%90%8E%E5%8B%A4%E6%9C%8D%E5%8A%A1%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5479
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:21:07 +0800] "GET /message_board/Department.jsp?object=%E9%A3%9F%E5%A0%82%E7%9B%91%E7%AE%A1%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5476
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:21:08 +0800] "GET /message_board/Department.jsp?object=%E6%A0%A1%E5%9B%AD%E5%AE%89%E4%BF%9D%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5488
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:21:09 +0800] "GET /message_board/Principal.jsp?object=all HTTP/1.1" 200 9162
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:21:09 +0800] "GET /message_board/img/principal.png HTTP/1.1" 200 2326
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:21:10 +0800] "GET /message_board/Department.jsp?object=all HTTP/1.1" 200 9086
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:21:10 +0800] "GET /message_board/Department.jsp?object=%E8%A1%8C%E6%94%BF%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5431
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:21:11 +0800] "GET /message_board/Department.jsp?object=%E5%90%8E%E5%8B%A4%E6%9C%8D%E5%8A%A1%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5479
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:21:11 +0800] "GET /message_board/Department.jsp?object=%E9%A3%9F%E5%A0%82%E7%9B%91%E7%AE%A1%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5476
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:21:11 +0800] "GET /message_board/Department.jsp?object=%E6%A0%A1%E5%9B%AD%E5%AE%89%E4%BF%9D%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5488
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:21:12 +0800] "GET /message_board/Department.jsp?object=%E6%A0%A1%E5%9B%AD%E5%AE%89%E4%BF%9D%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5488
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:21:12 +0800] "GET /message_board/Department.jsp?object=%E6%A0%A1%E5%9B%AD%E5%AE%89%E4%BF%9D%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5488
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:21:13 +0800] "GET /message_board/Principal.jsp?object=all HTTP/1.1" 200 9162
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:21:14 +0800] "GET /message_board/Principal.jsp?object=%E6%A0%A1%E9%95%BF HTTP/1.1" 200 5240
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:21:14 +0800] "GET /message_board/Principal.jsp?object=%E5%88%86%E7%AE%A1%E6%A0%A1%E9%95%BF HTTP/1.1" 200 6427
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:21:15 +0800] "GET /message_board/Principal.jsp?object=%E4%B9%A6%E8%AE%B0 HTTP/1.1" 200 5982
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:21:16 +0800] "GET /message_board/Principal.jsp?object=%E4%B9%A6%E8%AE%B0 HTTP/1.1" 200 5982
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:21:17 +0800] "GET /message_board/Principal.jsp?object=%E6%A0%A1%E9%95%BF HTTP/1.1" 200 5240
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:21:17 +0800] "GET /message_board/Principal.jsp?object=%E5%88%86%E7%AE%A1%E6%A0%A1%E9%95%BF HTTP/1.1" 200 6427
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:21:41 +0800] "GET null null" 400 -
