127.0.0.1 - - [29/Mar/2017:12:59:11 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [29/Mar/2017:12:59:15 +0800] "GET /message_board/Details.jsp HTTP/1.1" 500 9132
0:0:0:0:0:0:0:1 - - [29/Mar/2017:12:59:15 +0800] "GET /message_board//CSS/public.css HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [29/Mar/2017:12:59:15 +0800] "GET /message_board//assets/themes/default/sangarSlider.css HTTP/1.1" 200 13693
0:0:0:0:0:0:0:1 - - [29/Mar/2017:12:59:15 +0800] "GET /message_board//JS/jquery.js HTTP/1.1" 200 96402
0:0:0:0:0:0:0:1 - - [29/Mar/2017:12:59:15 +0800] "GET /message_board//assets/themes/default/default.css HTTP/1.1" 200 3124
0:0:0:0:0:0:0:1 - - [29/Mar/2017:12:59:15 +0800] "GET /message_board//CSS/main.css HTTP/1.1" 200 9006
0:0:0:0:0:0:0:1 - - [29/Mar/2017:12:59:15 +0800] "GET /message_board//JS/sangarSlider/sangarSetupBulletNav.js HTTP/1.1" 200 22213
0:0:0:0:0:0:0:1 - - [29/Mar/2017:12:59:15 +0800] "GET /message_board//JS/sangarSlider/sangarSetupSwipeTouch.js HTTP/1.1" 200 7184
0:0:0:0:0:0:0:1 - - [29/Mar/2017:12:59:15 +0800] "GET /message_board//JS/jquery.touchSwipe.min.js HTTP/1.1" 200 10802
0:0:0:0:0:0:0:1 - - [29/Mar/2017:12:59:15 +0800] "GET /message_board//JS/sangarSlider/sangarSetupNavigation.js HTTP/1.1" 200 5504
0:0:0:0:0:0:0:1 - - [29/Mar/2017:12:59:15 +0800] "GET /message_board//JS/sangarSlider/sangarBaseClass.js HTTP/1.1" 200 17716
0:0:0:0:0:0:0:1 - - [29/Mar/2017:12:59:15 +0800] "GET /message_board//JS/sangarSlider/sangarSizeAndScale.js HTTP/1.1" 200 4318
0:0:0:0:0:0:0:1 - - [29/Mar/2017:12:59:15 +0800] "GET /message_board//JS/sangarSlider/sangarSetupLayout.js HTTP/1.1" 200 5077
0:0:0:0:0:0:0:1 - - [29/Mar/2017:12:59:15 +0800] "GET /message_board//JS/sangarSlider/sangarSetupTimer.js HTTP/1.1" 200 5383
0:0:0:0:0:0:0:1 - - [29/Mar/2017:12:59:15 +0800] "GET /message_board//JS/sangarSlider/sangarResetSlider.js HTTP/1.1" 200 6608
0:0:0:0:0:0:0:1 - - [29/Mar/2017:12:59:15 +0800] "GET /message_board//JS/sangarSlider/sangarTextbox.js HTTP/1.1" 200 3549
0:0:0:0:0:0:0:1 - - [29/Mar/2017:12:59:15 +0800] "GET /message_board//JS/main.js HTTP/1.1" 200 3695
0:0:0:0:0:0:0:1 - - [29/Mar/2017:12:59:15 +0800] "GET /message_board//img/twitter.png HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [29/Mar/2017:12:59:15 +0800] "GET /message_board//img/facebook.png HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [29/Mar/2017:12:59:15 +0800] "GET /message_board//img/telegram.png HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [29/Mar/2017:12:59:15 +0800] "GET /message_board//img/Google+.png HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [29/Mar/2017:12:59:15 +0800] "GET /message_board//JS/sangarSlider/sangarLock.js HTTP/1.1" 200 1653
0:0:0:0:0:0:0:1 - - [29/Mar/2017:12:59:15 +0800] "GET /message_board//img/404.png HTTP/1.1" 200 1234
0:0:0:0:0:0:0:1 - - [29/Mar/2017:12:59:15 +0800] "GET /message_board//JS/sangarSlider/sangarResponsiveClass.js HTTP/1.1" 200 1537
0:0:0:0:0:0:0:1 - - [29/Mar/2017:12:59:15 +0800] "GET /message_board//JS/imagesloaded.min.js HTTP/1.1" 200 6939
0:0:0:0:0:0:0:1 - - [29/Mar/2017:12:59:15 +0800] "GET /message_board//JS/sangarSlider.js HTTP/1.1" 200 8368
0:0:0:0:0:0:0:1 - - [29/Mar/2017:12:59:15 +0800] "GET /message_board//JS/sangarSlider/sangarShift.js HTTP/1.1" 200 15889
0:0:0:0:0:0:0:1 - - [29/Mar/2017:12:59:15 +0800] "GET /message_board//img/logo1.png HTTP/1.1" 200 40615
0:0:0:0:0:0:0:1 - - [29/Mar/2017:12:59:15 +0800] "GET /message_board//img/lb1.jpg HTTP/1.1" 200 272921
0:0:0:0:0:0:0:1 - - [29/Mar/2017:12:59:15 +0800] "GET /message_board//img/lb2.jpg HTTP/1.1" 200 111933
0:0:0:0:0:0:0:1 - - [29/Mar/2017:12:59:15 +0800] "GET /message_board//img/lb3.jpg HTTP/1.1" 200 300000
0:0:0:0:0:0:0:1 - - [29/Mar/2017:12:59:15 +0800] "GET /message_board//JS/sangarSlider/sangarBeforeAfter.js HTTP/1.1" 200 877
0:0:0:0:0:0:0:1 - - [29/Mar/2017:12:59:16 +0800] "GET /message_board//img/search.png HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [29/Mar/2017:12:59:16 +0800] "GET /message_board//assets/themes/default/images/right-arrow.png HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [29/Mar/2017:12:59:16 +0800] "GET /message_board//assets/themes/default/images/left-arrow.png HTTP/1.1" 200 3459
0:0:0:0:0:0:0:1 - - [29/Mar/2017:12:59:40 +0800] "GET /message_board//index.jsp HTTP/1.1" 500 9132
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:07 +0800] "GET /message_board//index.jsp HTTP/1.1" 500 9132
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:07 +0800] "GET /message_board//CSS/main.css HTTP/1.1" 200 9006
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:07 +0800] "GET /message_board//CSS/public.css HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:07 +0800] "GET /message_board//assets/themes/default/sangarSlider.css HTTP/1.1" 200 13693
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:07 +0800] "GET /message_board//assets/themes/default/default.css HTTP/1.1" 200 3124
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:07 +0800] "GET /message_board//JS/main.js HTTP/1.1" 200 3695
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:07 +0800] "GET /message_board//JS/jquery.touchSwipe.min.js HTTP/1.1" 200 10802
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:07 +0800] "GET /message_board//JS/imagesloaded.min.js HTTP/1.1" 200 6939
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:07 +0800] "GET /message_board//JS/sangarSlider/sangarShift.js HTTP/1.1" 200 15889
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:07 +0800] "GET /message_board//JS/sangarSlider/sangarSetupNavigation.js HTTP/1.1" 200 5504
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:07 +0800] "GET /message_board//JS/sangarSlider/sangarSetupBulletNav.js HTTP/1.1" 200 22213
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:07 +0800] "GET /message_board//JS/sangarSlider/sangarSetupSwipeTouch.js HTTP/1.1" 200 7184
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:07 +0800] "GET /message_board//JS/sangarSlider/sangarSetupTimer.js HTTP/1.1" 200 5383
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:07 +0800] "GET /message_board//JS/sangarSlider/sangarBeforeAfter.js HTTP/1.1" 200 877
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:07 +0800] "GET /message_board//JS/sangarSlider/sangarSetupLayout.js HTTP/1.1" 200 5077
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:07 +0800] "GET /message_board//JS/sangarSlider/sangarLock.js HTTP/1.1" 200 1653
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:07 +0800] "GET /message_board//JS/sangarSlider/sangarBaseClass.js HTTP/1.1" 200 17716
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:07 +0800] "GET /message_board//JS/sangarSlider/sangarResponsiveClass.js HTTP/1.1" 200 1537
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:07 +0800] "GET /message_board//JS/sangarSlider/sangarSizeAndScale.js HTTP/1.1" 200 4318
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:07 +0800] "GET /message_board//JS/sangarSlider/sangarResetSlider.js HTTP/1.1" 200 6608
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:07 +0800] "GET /message_board//JS/sangarSlider/sangarTextbox.js HTTP/1.1" 200 3549
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:07 +0800] "GET /message_board//JS/sangarSlider.js HTTP/1.1" 200 8368
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:07 +0800] "GET /message_board//img/logo1.png HTTP/1.1" 200 40615
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:07 +0800] "GET /message_board//JS/jquery.js HTTP/1.1" 200 96402
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:07 +0800] "GET /message_board//img/facebook.png HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:07 +0800] "GET /message_board//img/twitter.png HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:07 +0800] "GET /message_board//img/Google+.png HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:07 +0800] "GET /message_board//img/telegram.png HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:07 +0800] "GET /message_board//img/lb1.jpg HTTP/1.1" 200 272921
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:07 +0800] "GET /message_board//img/lb2.jpg HTTP/1.1" 200 111933
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:07 +0800] "GET /message_board//img/lb3.jpg HTTP/1.1" 200 300000
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:07 +0800] "GET /message_board//img/404.png HTTP/1.1" 200 1234
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:07 +0800] "GET /message_board//img/search.png HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:08 +0800] "GET /message_board//assets/themes/default/images/right-arrow.png HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:08 +0800] "GET /message_board//assets/themes/default/images/left-arrow.png HTTP/1.1" 200 3459
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:08 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:12 +0800] "GET /message_board//index.jsp HTTP/1.1" 500 9132
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:17 +0800] "GET /message_board//Principal.jsp?object=all HTTP/1.1" 500 9132
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:19 +0800] "GET /message_board//College.jsp?object=all HTTP/1.1" 500 9132
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:20 +0800] "GET /message_board//Department.jsp?object=all HTTP/1.1" 500 9432
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:23 +0800] "GET /message_board//index.jsp HTTP/1.1" 500 9132
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:31 +0800] "GET /message_board//index.jsp HTTP/1.1" 200 19190
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:31 +0800] "GET /message_board//img/latest.png HTTP/1.1" 200 1718
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:31 +0800] "GET /message_board//img/hot.png HTTP/1.1" 200 1542
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:31 +0800] "GET /message_board//img/principal.png HTTP/1.1" 200 2326
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:31 +0800] "GET /message_board//img/department.png HTTP/1.1" 200 2295
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:34 +0800] "GET /message_board//Details.jsp?index=48 HTTP/1.1" 200 10088
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:58 +0800] "GET /message_board//Details.jsp?index=48 HTTP/1.1" 200 10096
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:58 +0800] "GET /message_board//Details.jsp?index=48 HTTP/1.1" 200 10096
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:00:59 +0800] "GET /message_board//Details.jsp?index=48 HTTP/1.1" 200 10096
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:01:01 +0800] "GET /message_board//Details.jsp?index=48 HTTP/1.1" 200 10096
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:01:01 +0800] "GET /message_board//Details.jsp?index=48 HTTP/1.1" 200 10096
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:01:02 +0800] "GET /message_board//Details.jsp?index=48 HTTP/1.1" 200 10096
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:01:03 +0800] "GET /message_board//Details.jsp?index=48 HTTP/1.1" 200 10096
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:01:15 +0800] "GET /message_board//Details.jsp?index=48 HTTP/1.1" 200 10096
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:01:15 +0800] "GET /message_board//CSS/main.css HTTP/1.1" 200 9006
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:01:15 +0800] "GET /message_board//assets/themes/default/sangarSlider.css HTTP/1.1" 200 13693
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:01:15 +0800] "GET /message_board//CSS/public.css HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:01:15 +0800] "GET /message_board//JS/imagesloaded.min.js HTTP/1.1" 200 6939
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:01:15 +0800] "GET /message_board//JS/sangarSlider/sangarSetupLayout.js HTTP/1.1" 200 5077
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:01:15 +0800] "GET /message_board//JS/jquery.js HTTP/1.1" 200 96402
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:01:15 +0800] "GET /message_board//JS/sangarSlider/sangarSizeAndScale.js HTTP/1.1" 200 4318
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:01:15 +0800] "GET /message_board//assets/themes/default/default.css HTTP/1.1" 200 3124
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:01:15 +0800] "GET /message_board//JS/main.js HTTP/1.1" 200 3695
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:01:15 +0800] "GET /message_board//JS/sangarSlider/sangarSetupNavigation.js HTTP/1.1" 200 5504
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:01:15 +0800] "GET /message_board//JS/sangarSlider/sangarSetupSwipeTouch.js HTTP/1.1" 200 7184
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:01:15 +0800] "GET /message_board//JS/sangarSlider/sangarBeforeAfter.js HTTP/1.1" 200 877
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:01:15 +0800] "GET /message_board//JS/sangarSlider/sangarSetupTimer.js HTTP/1.1" 200 5383
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:01:15 +0800] "GET /message_board//JS/sangarSlider/sangarResponsiveClass.js HTTP/1.1" 200 1537
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:01:15 +0800] "GET /message_board//JS/sangarSlider/sangarLock.js HTTP/1.1" 200 1653
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:01:15 +0800] "GET /message_board//JS/sangarSlider/sangarResetSlider.js HTTP/1.1" 200 6608
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:01:15 +0800] "GET /message_board//JS/sangarSlider.js HTTP/1.1" 200 8368
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:01:15 +0800] "GET /message_board//JS/sangarSlider/sangarTextbox.js HTTP/1.1" 200 3549
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:01:15 +0800] "GET /message_board//JS/jquery.touchSwipe.min.js HTTP/1.1" 200 10802
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:01:15 +0800] "GET /message_board//JS/sangarSlider/sangarShift.js HTTP/1.1" 200 15889
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:01:15 +0800] "GET /message_board//JS/sangarSlider/sangarBaseClass.js HTTP/1.1" 200 17716
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:01:15 +0800] "GET /message_board//JS/sangarSlider/sangarSetupBulletNav.js HTTP/1.1" 200 22213
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:01:16 +0800] "GET /message_board//img/telegram.png HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:01:16 +0800] "GET /message_board//img/lb2.jpg HTTP/1.1" 200 111933
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:01:16 +0800] "GET /message_board//img/logo1.png HTTP/1.1" 200 40615
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:01:16 +0800] "GET /message_board//img/lb3.jpg HTTP/1.1" 200 300000
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:01:16 +0800] "GET /message_board//img/facebook.png HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:01:16 +0800] "GET /message_board//img/twitter.png HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:01:16 +0800] "GET /message_board//img/lb1.jpg HTTP/1.1" 200 272921
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:01:16 +0800] "GET /message_board//img/Google+.png HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:01:16 +0800] "GET /message_board//img/search.png HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:01:16 +0800] "GET /message_board//assets/themes/default/images/right-arrow.png HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [29/Mar/2017:13:01:16 +0800] "GET /message_board//assets/themes/default/images/left-arrow.png HTTP/1.1" 200 3459
