127.0.0.1 - - [14/Mar/2017:10:28:34 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [14/Mar/2017:10:28:35 +0800] "GET /message_board/result/Search_result.jsp HTTP/1.1" 500 3550
0:0:0:0:0:0:0:1 - - [14/Mar/2017:10:28:35 +0800] "GET /message_board//CSS/main.css HTTP/1.1" 200 6546
0:0:0:0:0:0:0:1 - - [14/Mar/2017:10:28:36 +0800] "GET /message_board//img/top.jpg HTTP/1.1" 200 101318
0:0:0:0:0:0:0:1 - - [14/Mar/2017:10:28:36 +0800] "GET /message_board//img/nav.jpg HTTP/1.1" 200 53797
0:0:0:0:0:0:0:1 - - [14/Mar/2017:10:28:37 +0800] "GET /message_board//img/a.jpg HTTP/1.1" 200 659687
0:0:0:0:0:0:0:1 - - [14/Mar/2017:10:28:42 +0800] "GET /message_board/result/Search_result.jsp HTTP/1.1" 500 3550
0:0:0:0:0:0:0:1 - - [14/Mar/2017:10:28:42 +0800] "GET /message_board//CSS/main.css HTTP/1.1" 200 6546
0:0:0:0:0:0:0:1 - - [14/Mar/2017:10:28:42 +0800] "GET /message_board///JS/main.js HTTP/1.1" 200 3823
0:0:0:0:0:0:0:1 - - [14/Mar/2017:10:28:42 +0800] "GET /message_board//img/top.jpg HTTP/1.1" 200 101318
0:0:0:0:0:0:0:1 - - [14/Mar/2017:10:28:42 +0800] "GET /message_board//img/nav.jpg HTTP/1.1" 200 53797
0:0:0:0:0:0:0:1 - - [14/Mar/2017:10:28:43 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [14/Mar/2017:10:28:45 +0800] "GET /message_board//img/a.jpg HTTP/1.1" 200 659687
0:0:0:0:0:0:0:1 - - [14/Mar/2017:10:28:46 +0800] "GET /message_board//index.jsp HTTP/1.1" 200 15207
0:0:0:0:0:0:0:1 - - [14/Mar/2017:10:28:46 +0800] "GET /message_board//JS/main.js HTTP/1.1" 200 3823
0:0:0:0:0:0:0:1 - - [14/Mar/2017:10:28:46 +0800] "GET /message_board//img/latest.png HTTP/1.1" 200 1718
0:0:0:0:0:0:0:1 - - [14/Mar/2017:10:28:46 +0800] "GET /message_board//img/hot.png HTTP/1.1" 200 1542
0:0:0:0:0:0:0:1 - - [14/Mar/2017:10:29:06 +0800] "GET /message_board//Message.jsp HTTP/1.1" 200 5773
0:0:0:0:0:0:0:1 - - [14/Mar/2017:10:29:06 +0800] "GET /message_board//img/message.png HTTP/1.1" 200 1772
0:0:0:0:0:0:0:1 - - [14/Mar/2017:10:29:06 +0800] "GET /message_board//CSS/code_bg.jpg HTTP/1.1" 404 3006
0:0:0:0:0:0:0:1 - - [14/Mar/2017:10:30:42 +0800] "GET /message_board//Message.jsp HTTP/1.1" 200 5773
0:0:0:0:0:0:0:1 - - [14/Mar/2017:10:30:42 +0800] "GET /message_board//CSS/code_bg.jpg HTTP/1.1" 404 3006
0:0:0:0:0:0:0:1 - - [14/Mar/2017:10:30:44 +0800] "GET /message_board//Message.jsp HTTP/1.1" 200 5773
0:0:0:0:0:0:0:1 - - [14/Mar/2017:10:30:44 +0800] "GET /message_board//CSS/code_bg.jpg HTTP/1.1" 404 3006
0:0:0:0:0:0:0:1 - - [14/Mar/2017:10:30:44 +0800] "GET /message_board//Message.jsp HTTP/1.1" 200 5773
0:0:0:0:0:0:0:1 - - [14/Mar/2017:10:30:44 +0800] "GET /message_board//CSS/code_bg.jpg HTTP/1.1" 404 3006
0:0:0:0:0:0:0:1 - - [14/Mar/2017:10:30:45 +0800] "GET /message_board//Message.jsp HTTP/1.1" 200 5773
0:0:0:0:0:0:0:1 - - [14/Mar/2017:10:30:45 +0800] "GET /message_board//CSS/code_bg.jpg HTTP/1.1" 404 3006
0:0:0:0:0:0:0:1 - - [14/Mar/2017:10:30:53 +0800] "GET /message_board/index.jsp HTTP/1.1" 200 15207
0:0:0:0:0:0:0:1 - - [14/Mar/2017:10:30:53 +0800] "GET /message_board/CSS/main.css HTTP/1.1" 200 6680
0:0:0:0:0:0:0:1 - - [14/Mar/2017:10:30:53 +0800] "GET /message_board/JS/main.js HTTP/1.1" 304 -
